,polarity of section 2,subjectivity of section 2
0,0.0,0.0
1,0.16,0.5399999999999999
2,0.125,0.6666666666666666
3,-0.3499999999999999,0.3833333333333333
4,0.2125,0.36250000000000004
5,0.0,0.06666666666666667
6,0.05,0.2
7,0.1,0.2
8,-0.05,0.15000000000000002
9,0.0,0.06666666666666667
10,0.55,0.7
11,0.0,0.0
12,0.5,0.5
13,0.08333333333333333,0.16666666666666666
14,0.21428571428571427,0.42857142857142855
15,0.0,0.1
16,0.23333333333333336,0.5666666666666667
17,0.2,0.3
18,0.37142857142857144,0.6071428571428571
19,0.0,0.0
20,0.0,0.0
21,0.05833333333333333,0.5916666666666667
22,0.7,0.6000000000000001
23,0.0,0.0
24,0.0,0.0
25,0.7,0.7
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.75,1.0
31,0.2,1.0
32,0.1,0.8
33,0.0,0.0
34,-0.20000000000000004,0.8
35,0.2,0.4
36,-0.07777777777777779,0.14444444444444446
37,0.225,0.31666666666666665
38,0.0,0.15000000000000002
39,0.0,0.0
40,0.0,0.0
41,0.1,0.4
42,1.0,1.0
43,0.33999999999999997,0.43
44,0.21166666666666667,0.2622222222222222
45,-0.1,0.05
46,-0.05,0.4
47,0.0,0.0
48,-0.125,0.375
49,-0.075,0.17500000000000002
50,0.0,0.0
51,0.0,0.0
52,1.0,0.3
53,-0.041666666666666664,0.15833333333333333
54,0.2,0.2
55,0.0,0.0
56,0.0,0.0
57,-0.184375,0.5125
58,0.8,0.95
59,0.0,0.0
60,0.0,0.0
61,0.2857142857142857,0.5357142857142857
62,-0.1277777777777778,0.4444444444444444
63,0.0,0.0
64,0.0,0.0
65,0.2,0.4
66,-0.05,0.45
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,-0.0851851851851852,0.5962962962962963
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.3,0.1
77,0.0,0.0
78,-0.6,0.9
79,0.1675,0.61
80,-0.10555555555555556,0.5444444444444444
81,0.024999999999999967,0.5125
82,0.0,0.0
83,0.030134680134680125,0.38223905723905727
84,0.06818181818181818,0.22727272727272727
85,0.0,0.0
86,-0.15000000000000002,0.1
87,0.0,0.25
88,0.3333333333333333,0.5
89,0.0,0.0
90,0.8,0.75
91,0.25,0.25
92,-0.17023809523809524,0.305952380952381
93,0.6,1.0
94,0.6,1.0
95,-0.25,0.4
96,-0.4,0.8500000000000001
97,0.0,0.0
98,0.1,0.2
99,0.0,0.0
100,0.0,0.0
101,-0.1,1.0
102,0.3,0.8
103,-0.075,0.45
104,0.31111111111111106,0.6055555555555555
105,0.0,0.5
106,0.15833333333333333,0.49833333333333335
107,0.0,0.0
108,4.625929269271485e-18,0.2722222222222222
109,0.04545454545454545,0.15151515151515152
110,0.05298295454545454,0.5224431818181818
111,0.1518939393939394,0.5382575757575757
112,0.0,0.0
113,-0.022222222222222216,0.4444444444444444
114,0.009999999999999998,0.445
115,0.01767676767676768,0.40151515151515155
116,0.11499999999999999,0.385
117,0.0,0.0
118,-0.30000000000000004,0.39999999999999997
119,1.0,0.3
120,0.2785714285714286,0.5571428571428572
121,-0.1,0.55
122,0.0,0.125
123,-0.109375,0.4375
124,0.0,0.0
125,0.005555555555555536,0.3111111111111111
126,0.0,0.0
127,0.0,0.0
128,0.6,1.0
129,0.6,1.0
130,0.0,0.78
131,0.0,0.0
132,0.0,0.0
133,0.0,0.5
134,-0.21666666666666667,0.325
135,0.08541666666666668,0.5833333333333334
